,Office_2008,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes,dem_votes,repub_votes,county_polit_lean,county_perc_vote_dem,county_perc_vote_repub,county_state,county_stateV2,state_abb,hhi.political_lean,diversity.political_lean
1,President 2008,Alabama,20081104,N/A,AUTAUGA,County,"23,641","17,403","McCain, John S. III",Challenger,"6,093","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,145,"11,310",R,73.61,25.77,0,0.61,74.07,25.93,NA,NA,NA,2240,727,-1513,0.754971352,0.245028648,Autauga County AL,Autauga AL,AL,0.63002078,0.36997922
2,President 2008,Alabama,20081104,N/A,BALDWIN,County,"81,413","61,271","McCain, John S. III",Challenger,"19,386","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,756,"41,885",R,75.26,23.81,0,0.93,75.96,24.04,NA,NA,NA,784,2384,1600,0.247474747,0.752525253,Baldwin County AL,Baldwin AL,AL,0.627538006,0.372461994
3,President 2008,Alabama,20081104,N/A,BARBOUR,County,"11,630","5,866","McCain, John S. III",Challenger,"5,697","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,67,169,R,50.44,48.99,0,0.58,50.73,49.27,NA,NA,NA,2110,2120,10,0.498817967,0.501182033,Barbour County AL,Barbour AL,AL,0.500002794,0.499997206
4,President 2008,Alabama,20081104,N/A,BIBB,County,"8,644","6,262","McCain, John S. III",Challenger,"2,299","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,83,"3,963",R,72.44,26.6,0,0.96,73.15,26.85,NA,NA,NA,900,2269,1369,0.284001262,0.715998738,Bibb County AL,Bibb AL,AL,0.593310909,0.406689091
5,President 2008,Alabama,20081104,N/A,BLOUNT,County,"24,267","20,389","McCain, John S. III",Challenger,"3,522","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,356,"16,867",R,84.02,14.51,0,1.47,85.27,14.73,NA,NA,NA,1475,1099,-376,0.573038073,0.426961927,Blount County AL,Blount AL,AL,0.51066912,0.48933088
6,President 2008,Alabama,20081104,N/A,BULLOCK,County,"5,415","1,391","McCain, John S. III",Challenger,"4,011","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,13,"2,620",D,25.69,74.07,0,0.24,25.75,74.25,NA,NA,NA,1707,104,-1603,0.942573164,0.057426836,Bullock County AL,Bullock AL,AL,0.891742011,0.108257989
7,President 2008,Alabama,20081104,N/A,BUTLER,County,"9,709","5,485","McCain, John S. III",Challenger,"4,188","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,36,"1,297",R,56.49,43.14,0,0.37,56.7,43.3,NA,NA,NA,1743,2059,316,0.458442925,0.541557075,Butler County AL,Butler AL,AL,0.503453981,0.496546019
8,President 2008,Alabama,20081104,N/A,CALHOUN,County,"49,242","32,348","McCain, John S. III",Challenger,"16,334","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,560,"16,014",R,65.69,33.17,0,1.14,66.45,33.55,NA,NA,NA,696,1582,886,0.305531168,0.694468832,Calhoun County AL,Calhoun AL,AL,0.575636253,0.424363747
9,President 2008,Alabama,20081104,N/A,CHAMBERS,County,"14,956","8,067","McCain, John S. III",Challenger,"6,799","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,90,"1,268",R,53.94,45.46,0,0.6,54.26,45.74,NA,NA,NA,2317,2614,297,0.469884405,0.530115595,Chambers County AL,Chambers AL,AL,0.501813898,0.498186102
10,President 2008,Alabama,20081104,N/A,CHEROKEE,County,"9,745","7,298","McCain, John S. III",Challenger,"2,306","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,141,"4,992",R,74.89,23.66,0,1.45,75.99,24.01,NA,NA,NA,904,2476,1572,0.267455621,0.732544379,Cherokee County AL,Cherokee AL,AL,0.608153776,0.391846224
11,President 2008,Alabama,20081104,N/A,CHILTON,County,"17,785","13,960","McCain, John S. III",Challenger,"3,674","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,151,"10,286",R,78.49,20.66,0,0.85,79.17,20.83,NA,NA,NA,1508,557,-951,0.730266344,0.269733656,Chilton County AL,Chilton AL,AL,0.606045178,0.393954822
12,President 2008,Alabama,20081104,N/A,CHOCTAW,County,"7,894","4,223","McCain, John S. III",Challenger,"3,636","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,35,587,R,53.5,46.06,0,0.44,53.73,46.27,NA,NA,NA,1501,1726,225,0.465137899,0.534862101,Choctaw County AL,Choctaw AL,AL,0.502430732,0.497569268
13,President 2008,Alabama,20081104,N/A,CLARKE,County,"13,435","7,466","McCain, John S. III",Challenger,"5,914","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,55,"1,552",R,55.57,44.02,0,0.41,55.8,44.2,NA,NA,NA,2140,2487,347,0.462502702,0.537497298,Clarke County AL,Clarke AL,AL,0.502812095,0.497187905
14,President 2008,Alabama,20081104,N/A,CLAY,County,"6,819","4,984","McCain, John S. III",Challenger,"1,760","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,75,"3,224",R,73.09,25.81,0,1.1,73.9,26.1,NA,NA,NA,277,1885,1608,0.128122109,0.871877891,Clay County AL,Clay AL,AL,0.776586331,0.223413669
15,President 2008,Alabama,20081104,N/A,CLEBURNE,County,"6,492","5,216","McCain, John S. III",Challenger,"1,168","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,108,"4,048",R,80.35,17.99,0,1.66,81.7,18.3,NA,NA,NA,59,2016,1957,0.028433735,0.971566265,Cleburne County AL,Cleburne AL,AL,0.944749485,0.055250515
16,President 2008,Alabama,20081104,N/A,COFFEE,County,"20,128","14,919","McCain, John S. III",Challenger,"5,079","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,130,"9,840",R,74.12,25.23,0,0.65,74.6,25.4,NA,NA,NA,2021,609,-1412,0.768441065,0.231558935,Coffee County AL,Coffee AL,AL,0.64412121,0.35587879
17,President 2008,Alabama,20081104,N/A,COLBERT,County,"24,843","14,739","McCain, John S. III",Challenger,"9,703","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,401,"5,036",R,59.33,39.06,0,1.61,60.3,39.7,NA,NA,NA,2776,598,-2178,0.8227623,0.1772377,Colbert County AL,Colbert AL,AL,0.708351005,0.291648995
18,President 2008,Alabama,20081104,N/A,CONECUH,County,"6,943","3,470","McCain, John S. III",Challenger,"3,429","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,44,41,R,49.98,49.39,0,0.63,50.3,49.7,NA,NA,NA,1453,1432,-21,0.503639515,0.496360485,Conecuh County AL,Conecuh AL,AL,0.500026492,0.499973508
19,President 2008,Alabama,20081104,N/A,COOSA,County,"5,563","3,248","McCain, John S. III",Challenger,"2,273","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,42,975,R,58.39,40.86,0,0.75,58.83,41.17,NA,NA,NA,893,1380,487,0.392872855,0.607127145,Coosa County AL,Coosa AL,AL,0.52295245,0.47704755
20,President 2008,Alabama,20081104,N/A,COVINGTON,County,"15,787","12,444","McCain, John S. III",Challenger,"3,240","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,103,"9,204",R,78.82,20.52,0,0.65,79.34,20.66,NA,NA,NA,1401,468,-933,0.749598716,0.250401284,Covington County AL,Covington AL,AL,0.624599038,0.375400962
21,President 2008,Alabama,20081104,N/A,CRENSHAW,County,"6,291","4,319","McCain, John S. III",Challenger,"1,938","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,34,"2,381",R,68.65,30.81,0,0.54,69.03,30.97,NA,NA,NA,334,1750,1416,0.160268714,0.839731286,Crenshaw County AL,Crenshaw AL,AL,0.730834693,0.269165307
22,President 2008,Alabama,20081104,N/A,CULLMAN,County,"35,305","28,896","McCain, John S. III",Challenger,"5,864","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,545,"23,032",R,81.85,16.61,0,1.54,83.13,16.87,NA,NA,NA,2131,1289,-842,0.623099415,0.376900585,Cullman County AL,Cullman AL,AL,0.530306932,0.469693068
23,President 2008,Alabama,20081104,N/A,DALE,County,"19,320","13,886","McCain, John S. III",Challenger,"5,270","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,164,"8,616",R,71.87,27.28,0,0.85,72.49,27.51,NA,NA,NA,2057,555,-1502,0.787519142,0.212480858,Dale County AL,Dale AL,AL,0.665334515,0.334665485
24,President 2008,Alabama,20081104,N/A,DALLAS,County,"20,852","6,798","McCain, John S. III",Challenger,"13,986","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,68,"7,188",D,32.6,67.07,0,0.33,32.71,67.29,NA,NA,NA,590,2351,1761,0.200612037,0.799387963,Dallas County AL,Dallas AL,AL,0.679266305,0.320733695
25,President 2008,Alabama,20081104,N/A,DEKALB,County,"24,015","17,957","McCain, John S. III",Challenger,"5,658","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,400,"12,299",R,74.77,23.56,0,1.67,76.04,23.96,NA,NA,NA,2105,749,-1356,0.737561317,0.262438683,Dekalb County AL,Dekalb AL,AL,0.612870759,0.387129241
26,President 2008,Alabama,20081104,N/A,ELMORE,County,"34,315","25,777","McCain, John S. III",Challenger,"8,301","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,237,"17,476",R,75.12,24.19,0,0.69,75.64,24.36,NA,NA,NA,2617,1231,-1386,0.680093555,0.319906445,Elmore County AL,Elmore AL,AL,0.564867377,0.435132623
27,President 2008,Alabama,20081104,N/A,ESCAMBIA,County,"14,674","9,375","McCain, John S. III",Challenger,"5,188","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,111,"4,187",R,63.89,35.36,0,0.76,64.38,35.62,NA,NA,NA,2041,2808,767,0.420911528,0.579088472,Escambia County AL,Escambia AL,AL,0.512509973,0.487490027
28,President 2008,Alabama,20081104,N/A,ETOWAH,County,"44,737","30,595","McCain, John S. III",Challenger,"13,497","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,645,"17,098",R,68.39,30.17,0,1.44,69.39,30.61,NA,NA,NA,570,1553,983,0.268487989,0.731512011,Etowah County AL,Etowah AL,AL,0.607195623,0.392804377
29,President 2008,Alabama,20081104,N/A,FAYETTE,County,"7,957","5,883","McCain, John S. III",Challenger,"1,994","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,80,"3,889",R,73.93,25.06,0,1.01,74.69,25.31,NA,NA,NA,348,2123,1775,0.140833671,0.859166329,Fayette County AL,Fayette AL,AL,0.758000904,0.241999096
30,President 2008,Alabama,20081104,N/A,FRANKLIN,County,"11,693","8,048","McCain, John S. III",Challenger,"3,469","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,176,"4,579",R,68.83,29.67,0,1.51,69.88,30.12,NA,NA,NA,1462,2613,1151,0.358773006,0.641226994,Franklin County AL,Franklin AL,AL,0.539890128,0.460109872
31,President 2008,Alabama,20081104,N/A,GENEVA,County,"11,657","9,417","McCain, John S. III",Challenger,"2,134","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,106,"7,283",R,80.78,18.31,0,0.91,81.53,18.47,NA,NA,NA,848,2812,1964,0.231693989,0.768306011,Geneva County AL,Geneva AL,AL,0.643976231,0.356023769
